,items,common_ingredients,cluster_id
1105,"['ham', 'chicken', 'citrus fruit', 'pip fruit', 'herbs', 'other vegetables', 'butter', 'napkins']","['ham', 'chicken', 'fruits', 'fruits', 'herbs', 'vegetables', 'butter']",4
1106,"['bottled water', 'canned beer']","['water', 'beer']",3
1108,"['tropical fruit', 'pip fruit', 'other vegetables', 'cream cheese', 'soda', 'bottled beer']","['fruits', 'fruits', 'vegetables', 'cheese', 'soda', 'beer']",3
1109,"['frankfurter', 'sausage', 'UHT-milk', 'frozen meals', 'frozen dessert', 'domestic eggs', 'rolls/buns', 'pastry', 'mustard', 'coffee']","['meat', 'meat', 'milk', 'eggs', 'bread', 'herbs']",5
1110,"['hamburger meat', 'citrus fruit', 'packaged fruit/vegetables', 'rolls/buns', 'vinegar', 'cocoa drinks', 'specialty chocolate']","['meat', 'fruits', 'vegetables', 'bread', 'vinegar', 'chocolate']",3
1111,"['soda', 'candy']",['soda'],3
1112,"['sausage', 'root vegetables', 'rolls/buns', 'bottled water', 'white wine', 'flower (seeds)']","['meat', 'vegetables', 'bread', 'water', 'wine']",3
1113,"['yogurt', 'sliced cheese', 'frozen vegetables', 'frozen meals', 'pickled vegetables', 'coffee', 'instant coffee']","['yogurt', 'cheese', 'vegetables', 'vegetables']",3
1114,"['meat', 'other vegetables', 'whole milk', 'yogurt', 'soft cheese', 'sliced cheese', 'domestic eggs', 'margarine', 'cat food', 'pet care', 'coffee', 'bottled beer', 'red/blush wine', 'dish cleaner', 'napkins', 'kitchen towels']","['meat', 'vegetables', 'milk', 'yogurt', 'cheese', 'cheese', 'eggs', 'margarine', 'beer', 'wine']",3
1115,['red/blush wine'],['wine'],3
1116,"['UHT-milk', 'instant coffee']",['milk'],3
1117,['brown bread'],['bread'],3
1118,['semi-finished bread'],['bread'],3
1119,"['whole milk', 'soda', 'misc. beverages', 'shopping bags']","['milk', 'soda']",3
1121,"['citrus fruit', 'tropical fruit', 'pip fruit', 'grapes', 'root vegetables', 'other vegetables', 'whole milk', 'curd', 'dessert', 'whipped/sour cream', 'UHT-milk', 'frozen vegetables', 'frozen meals', 'bottled water', 'fruit/vegetable juice', 'specialty chocolate', 'napkins']","['fruits', 'fruits', 'fruits', 'vegetables', 'vegetables', 'vegetables', 'milk', 'cream', 'milk', 'vegetables', 'water', 'vegetables', 'chocolate']",6
1122,"['citrus fruit', 'other vegetables', 'butter', 'soda', 'bottled beer', 'canned beer', 'waffles', 'chocolate', 'seasonal products']","['fruits', 'vegetables', 'butter', 'soda', 'beer', 'beer', 'chocolate']",3
1123,"['meat', 'other vegetables', 'packaged fruit/vegetables', 'cream cheese', 'margarine', 'bottled water', 'salty snack']","['meat', 'vegetables', 'vegetables', 'cheese', 'margarine', 'water']",3
1124,['rolls/buns'],['bread'],3
1125,"['root vegetables', 'whipped/sour cream', 'salt', 'fruit/vegetable juice', 'salty snack']","['vegetables', 'cream', 'salt', 'vegetables']",3
1126,"['tropical fruit', 'other vegetables', 'whole milk', 'curd', 'whipped/sour cream', 'bottled beer']","['fruits', 'vegetables', 'milk', 'cream', 'beer']",3
1127,"['brown bread', 'oil', 'sugar', 'soda', 'bottled beer']","['bread', 'oil', 'sugar', 'soda', 'beer']",6
1129,"['grapes', 'brown bread', 'bottled beer', 'white wine']","['vegetables', 'bread', 'beer', 'wine']",3
1130,"['ham', 'tropical fruit', 'cream cheese', 'processed cheese', 'white bread', 'candy']","['ham', 'fruits', 'cheese', 'cheese', 'bread']",3
1131,"['root vegetables', 'skin care']",['vegetables'],3
1132,"['ice cream', 'misc. beverages', 'canned beer', 'napkins', 'shopping bags']",['beer'],3
1133,"['tropical fruit', 'other vegetables', 'bottled water', 'bottled beer', 'napkins']","['fruits', 'vegetables', 'water', 'beer']",3
1134,"['finished products', 'other vegetables', 'soda', 'fruit/vegetable juice']","['vegetables', 'soda', 'vegetables']",3
1136,['sparkling wine'],['wine'],3
1137,"['other vegetables', 'yogurt', 'oil', 'dental care']","['vegetables', 'yogurt', 'oil']",3
1139,"['other vegetables', 'nut snack']",['vegetables'],3
1141,"['dessert', 'yogurt', 'UHT-milk', 'soda', 'canned beer', 'light bulbs']","['yogurt', 'milk', 'soda', 'beer']",3
1142,"['frankfurter', 'tropical fruit', 'cream cheese', 'rolls/buns', 'fruit/vegetable juice', 'kitchen towels', 'newspapers']","['meat', 'fruits', 'cheese', 'bread', 'vegetables']",3
1143,"['sausage', 'citrus fruit', 'pip fruit', 'yogurt', 'beverages', 'sliced cheese', 'sugar', 'bottled water', 'soda', 'cake bar']","['meat', 'fruits', 'fruits', 'yogurt', 'cheese', 'sugar', 'water', 'soda']",6
1144,"['meat', 'citrus fruit', 'root vegetables', 'other vegetables', 'whipped/sour cream', 'semi-finished bread', 'salty snack']","['meat', 'fruits', 'vegetables', 'vegetables', 'cream', 'bread']",3
1145,"['sausage', 'yogurt', 'pastry', 'margarine', 'soda', 'bottled beer', 'flower (seeds)']","['meat', 'yogurt', 'margarine', 'soda', 'beer']",3
1146,['onions'],['vegetables'],3
1147,"['beef', 'citrus fruit', 'onions', 'herbs', 'other vegetables', 'whole milk', 'yogurt', 'whipped/sour cream', 'specialty cheese', 'brown bread', 'canned vegetables', 'bottled water', 'dish cleaner', 'abrasive cleaner', 'hygiene articles']","['beef', 'fruits', 'vegetables', 'herbs', 'vegetables', 'milk', 'yogurt', 'cream', 'cheese', 'bread', 'vegetables', 'water']",5
1148,"['pip fruit', 'other vegetables', 'butter', 'yogurt', 'whipped/sour cream', 'brown bread', 'pastry', 'fruit/vegetable juice', 'detergent']","['fruits', 'vegetables', 'butter', 'yogurt', 'cream', 'bread', 'vegetables']",3
1149,"['ham', 'hamburger meat', 'onions', 'other vegetables', 'processed cheese', 'frozen vegetables', 'domestic eggs', 'rolls/buns', 'white bread', 'cookware', 'shopping bags']","['ham', 'meat', 'vegetables', 'vegetables', 'cheese', 'vegetables', 'eggs', 'bread', 'bread']",3
1150,"['yogurt', 'newspapers']",['yogurt'],3
1151,"['citrus fruit', 'grapes', 'curd', 'bottled water', 'waffles']","['fruits', 'vegetables', 'water']",3
1152,"['other vegetables', 'sugar']","['vegetables', 'sugar']",6
1153,"['pork', 'frozen meals', 'frozen fish', 'shopping bags']","['pork', 'fish']",3
1155,"['ham', 'grapes', 'spread cheese', 'ice cream', 'frozen potato products', 'white bread', 'oil', 'pudding powder']","['ham', 'vegetables', 'cheese', 'bread', 'oil']",3
1156,"['grapes', 'specialty cheese', 'pasta', 'coffee', 'bottled water', 'soda', 'canned beer', 'brandy', 'white wine']","['vegetables', 'cheese', 'pasta', 'water', 'soda', 'beer', 'brandy', 'wine']",3
1158,"['citrus fruit', 'bottled water', 'red/blush wine', 'photo/film']","['fruits', 'water', 'wine']",6
1160,"['dessert', 'white bread']",['bread'],3
1161,"['citrus fruit', 'tropical fruit', 'pip fruit', 'long life bakery product']","['fruits', 'fruits', 'fruits']",3
1162,['soda'],['soda'],3
1164,"['root vegetables', 'sliced cheese', 'soda', 'bottled beer']","['vegetables', 'cheese', 'soda', 'beer']",3
1165,"['pork', 'other vegetables']","['pork', 'vegetables']",3
1166,"['turkey', 'whole milk', 'UHT-milk', 'fruit/vegetable juice']","['meat', 'milk', 'milk', 'vegetables']",3
1167,"['tropical fruit', 'other vegetables', 'soda', 'candy', 'shopping bags']","['fruits', 'vegetables', 'soda']",3
1168,"['sausage', 'other vegetables', 'pasta', 'oil', 'margarine', 'coffee', 'syrup', 'canned beer', 'napkins', 'light bulbs', 'shopping bags']","['meat', 'vegetables', 'pasta', 'oil', 'margarine', 'syrup', 'beer']",3
1169,"['sausage', 'meat', 'other vegetables', 'brown bread', 'canned fish', 'bottled water', 'canned beer', 'liquor (appetizer)', 'shopping bags']","['meat', 'meat', 'vegetables', 'bread', 'fish', 'water', 'beer']",3
1170,"['pork', 'tropical fruit', 'other vegetables', 'dessert', 'yogurt', 'roll products', 'flour', 'rice', 'coffee', 'bottled water', 'soda', 'fruit/vegetable juice', 'canned beer', 'salty snack']","['pork', 'fruits', 'vegetables', 'yogurt', 'flour', 'rice', 'water', 'soda', 'vegetables', 'beer']",3
1171,"['sausage', 'citrus fruit', 'pip fruit', 'mayonnaise', 'brown bread', 'shopping bags']","['meat', 'fruits', 'fruits', 'sauce', 'bread']",3
1172,"['grapes', 'chocolate', 'light bulbs']","['vegetables', 'chocolate']",3
1173,"['grapes', 'pastry', 'salty snack', 'light bulbs', 'shopping bags']",['vegetables'],3
1174,"['other vegetables', 'yogurt', 'processed cheese', 'ketchup', 'bottled water', 'male cosmetics']","['vegetables', 'yogurt', 'cheese', 'sauce', 'water']",3
1176,"['bottled water', 'potted plants']",['water'],3
1177,"['prosecco', 'hygiene articles', 'potted plants']",['wine'],3
1178,"['UHT-milk', 'soda', 'dish cleaner', 'napkins']","['milk', 'soda']",3
1179,"['bottled water', 'soda', 'chewing gum', 'specialty chocolate', 'candy']","['water', 'soda', 'chocolate']",3
1180,"['rolls/buns', 'canned fish', 'canned beer']","['bread', 'fish', 'beer']",3
1181,['specialty chocolate'],['chocolate'],3
1182,"['beef', 'other vegetables', 'butter milk', 'yogurt', 'whipped/sour cream', 'cream cheese', 'white bread', 'fruit/vegetable juice', 'bottled beer', 'chocolate']","['beef', 'vegetables', 'butter', 'yogurt', 'cream', 'cheese', 'bread', 'vegetables', 'beer', 'chocolate']",3
1183,"['tropical fruit', 'pasta', 'bottled water']","['fruits', 'pasta', 'water']",6
1184,"['beef', 'root vegetables', 'other vegetables', 'butter', 'yogurt', 'rolls/buns', 'flour']","['beef', 'vegetables', 'vegetables', 'butter', 'yogurt', 'bread', 'flour']",3
1185,"['rolls/buns', 'white wine']","['bread', 'wine']",3
1186,"['berries', 'root vegetables', 'whipped/sour cream', 'roll products', 'bottled beer']","['fruits', 'vegetables', 'cream', 'beer']",3
1187,"['sausage', 'hamburger meat', 'whole milk', 'rolls/buns', 'oil', 'pickled vegetables', 'softener', 'hygiene articles']","['meat', 'meat', 'milk', 'bread', 'oil', 'vegetables']",3
1188,"['chicken', 'pork', 'beef', 'whole milk', 'curd', 'whipped/sour cream']","['chicken', 'pork', 'beef', 'milk', 'cream']",3
1189,"['sausage', 'citrus fruit', 'whole milk', 'cream cheese', 'processed cheese', 'frozen vegetables', 'rolls/buns', 'pastry', 'fruit/vegetable juice', 'chewing gum']","['meat', 'fruits', 'milk', 'cheese', 'cheese', 'vegetables', 'bread', 'vegetables']",3
1191,['canned beer'],['beer'],3
1192,"['soda', 'canned beer']","['soda', 'beer']",3
1193,"['yogurt', 'UHT-milk', 'rolls/buns']","['yogurt', 'milk', 'bread']",3
1194,"['rolls/buns', 'red/blush wine', 'newspapers']","['bread', 'wine']",3
1195,"['rolls/buns', 'coffee']",['bread'],3
1196,"['whole milk', 'brown bread']","['milk', 'bread']",3
1197,"['citrus fruit', 'root vegetables', 'other vegetables', 'whole milk', 'curd', 'yogurt', 'whipped/sour cream', 'hard cheese', 'cream cheese', 'domestic eggs', 'flour', 'rice', 'oil', 'margarine', 'sugar']","['fruits', 'vegetables', 'vegetables', 'milk', 'yogurt', 'cream', 'cheese', 'cheese', 'eggs', 'flour', 'rice', 'oil', 'margarine', 'sugar']",6
1198,"['citrus fruit', 'tropical fruit', 'grapes', 'whole milk', 'brown bread', 'pastry']","['fruits', 'fruits', 'vegetables', 'milk', 'bread']",3
1199,"['brown bread', 'chocolate']","['bread', 'chocolate']",3
1200,"['tropical fruit', 'other vegetables', 'whipped/sour cream', 'UHT-milk', 'frozen vegetables', 'oil', 'margarine', 'fruit/vegetable juice', 'kitchen towels']","['fruits', 'vegetables', 'cream', 'milk', 'vegetables', 'oil', 'margarine', 'vegetables']",3
1201,"['frankfurter', 'tropical fruit', 'butter', 'whipped/sour cream', 'frozen vegetables', 'rolls/buns', 'sugar', 'baking powder', 'bottled water', 'misc. beverages', 'long life bakery product', 'newspapers']","['meat', 'fruits', 'butter', 'cream', 'vegetables', 'bread', 'sugar', 'water']",6
1203,"['ham', 'rolls/buns', 'bottled beer', 'chewing gum']","['ham', 'bread', 'beer']",3
1204,"['other vegetables', 'curd', 'yogurt', 'pickled vegetables', 'bottled water']","['vegetables', 'yogurt', 'vegetables', 'water']",3
1205,"['sausage', 'whole milk', 'curd', 'butter milk', 'whipped/sour cream']","['meat', 'milk', 'butter', 'cream']",3
1206,"['pork', 'whole milk', 'margarine', 'soda', 'canned beer', 'newspapers']","['pork', 'milk', 'margarine', 'soda', 'beer']",3
1207,"['citrus fruit', 'yogurt', 'whipped/sour cream', 'soda', 'cookware']","['fruits', 'yogurt', 'cream', 'soda']",6
1208,"['tropical fruit', 'whole milk', 'domestic eggs', 'pastry', 'hygiene articles']","['fruits', 'milk', 'eggs']",6
1209,"['other vegetables', 'yogurt', 'cream cheese']","['vegetables', 'yogurt', 'cheese']",3
1210,"['pork', 'whole milk', 'sugar', 'soda', 'long life bakery product', 'chocolate']","['pork', 'milk', 'sugar', 'soda', 'chocolate']",6
1211,"['chicken', 'pork', 'pip fruit', 'other vegetables', 'whole milk', 'tidbits', 'frozen fish', 'rolls/buns', 'margarine', 'baking powder', 'soda', 'bottled beer', 'white wine', 'waffles', 'chocolate', 'candy']","['chicken', 'pork', 'fruits', 'vegetables', 'milk', 'fish', 'bread', 'margarine', 'soda', 'beer', 'wine', 'chocolate']",3
1212,"['root vegetables', 'whole milk', 'yogurt', 'rolls/buns', 'potted plants']","['vegetables', 'milk', 'yogurt', 'bread']",3
1213,"['citrus fruit', 'cake bar', 'baby cosmetics', 'shopping bags']",['fruits'],3
1214,['fruit/vegetable juice'],['vegetables'],3
1215,"['beef', 'tropical fruit', 'whole milk', 'ice cream', 'cat food']","['beef', 'fruits', 'milk']",3
1216,"['frankfurter', 'sausage', 'liver loaf', 'ham', 'chicken', 'beef', 'citrus fruit', 'tropical fruit', 'root vegetables', 'other vegetables', 'whole milk', 'butter', 'curd', 'yogurt', 'whipped/sour cream', 'beverages', 'soft cheese', 'hard cheese', 'cream cheese', 'mayonnaise', 'domestic eggs', 'rolls/buns', 'roll products', 'flour', 'pasta', 'margarine', 'specialty fat', 'sugar', 'soups', 'skin care', 'hygiene articles', 'candles']","['meat', 'meat', 'meat', 'ham', 'chicken', 'beef', 'fruits', 'fruits', 'vegetables', 'vegetables', 'milk', 'butter', 'yogurt', 'cream', 'cheese', 'cheese', 'cheese', 'sauce', 'eggs', 'bread', 'flour', 'pasta', 'margarine', 'sugar']",1
1217,"['frankfurter', 'pip fruit', 'other vegetables', 'yogurt', 'spread cheese', 'rolls/buns', 'white bread', 'pastry', 'coffee', 'soda', 'waffles', 'hygiene articles']","['meat', 'fruits', 'vegetables', 'yogurt', 'cheese', 'bread', 'bread', 'soda']",3
1218,"['beef', 'hamburger meat', 'other vegetables', 'rolls/buns', 'brown bread', 'bottled water', 'soda', 'bottled beer', 'canned beer']","['beef', 'meat', 'vegetables', 'bread', 'bread', 'water', 'soda', 'beer', 'beer']",3
1219,"['ham', 'pork', 'hamburger meat', 'pip fruit', 'other vegetables', 'whole milk', 'butter', 'curd', 'dessert', 'butter milk', 'whipped/sour cream', 'domestic eggs', 'brown bread', 'roll products', 'hygiene articles']","['ham', 'pork', 'meat', 'fruits', 'vegetables', 'milk', 'butter', 'butter', 'cream', 'eggs', 'bread']",3
1221,"['pork', 'root vegetables', 'other vegetables', 'specialty fat', 'sugar', 'baking powder', 'cat food', 'salty snack', 'waffles', 'shopping bags']","['pork', 'vegetables', 'vegetables', 'sugar']",6
1222,"['condensed milk', 'bottled water', 'misc. beverages', 'bottled beer', 'bathroom cleaner']","['milk', 'water', 'beer']",3
1223,"['chicken', 'bottled beer', 'red/blush wine', 'newspapers']","['chicken', 'beer', 'wine']",3
1224,"['sausage', 'meat', 'butter', 'domestic eggs', 'cat food']","['meat', 'meat', 'butter', 'eggs']",3
1225,"['bottled beer', 'potted plants']",['beer'],3
1226,"['chicken', 'pork', 'grapes', 'other vegetables', 'domestic eggs', 'rolls/buns', 'pastry', 'soda', 'specialty bar']","['chicken', 'pork', 'vegetables', 'vegetables', 'eggs', 'bread', 'soda']",3
1227,"['finished products', 'other vegetables', 'whole milk', 'whipped/sour cream', 'margarine', 'cereals', 'soda', 'salty snack']","['vegetables', 'milk', 'cream', 'margarine', 'soda']",3
1228,"['pork', 'beef', 'citrus fruit', 'berries', 'root vegetables', 'other vegetables', 'whole milk', 'yogurt', 'cream cheese', 'vinegar', 'oil', 'cat food', 'specialty chocolate', 'detergent', 'dish cleaner', 'abrasive cleaner', 'cleaner', 'hygiene articles', 'shopping bags']","['pork', 'beef', 'fruits', 'fruits', 'vegetables', 'vegetables', 'milk', 'yogurt', 'cheese', 'vinegar', 'oil', 'chocolate']",3
1229,"['root vegetables', 'whole milk', 'yogurt', 'frozen potato products']","['vegetables', 'milk', 'yogurt']",3
1230,"['domestic eggs', 'seasonal products', 'shopping bags']",['eggs'],3
1231,"['domestic eggs', 'specialty bar', 'seasonal products', 'shopping bags']",['eggs'],3
1232,"['bottled water', 'soda']","['water', 'soda']",3
1234,"['other vegetables', 'rolls/buns', 'bottled water', 'fruit/vegetable juice', 'canned beer', 'whisky', 'shopping bags']","['vegetables', 'bread', 'water', 'vegetables', 'beer']",3
1235,['whole milk'],['milk'],3
1236,"['sausage', 'meat', 'pork', 'whole milk', 'butter', 'whipped/sour cream', 'frozen vegetables', 'frozen dessert', 'white bread', 'brown bread', 'pastry', 'coffee']","['meat', 'meat', 'pork', 'milk', 'butter', 'cream', 'vegetables', 'bread', 'bread']",3
1237,"['sausage', 'mayonnaise', 'rolls/buns', 'canned beer', 'shopping bags']","['meat', 'sauce', 'bread', 'beer']",3
1238,"['tropical fruit', 'sliced cheese', 'domestic eggs', 'zwieback']","['fruits', 'cheese', 'eggs']",3
1239,"['frankfurter', 'beef', 'tropical fruit', 'pip fruit', 'butter', 'yogurt', 'dog food', 'long life bakery product', 'cookware', 'newspapers']","['meat', 'beef', 'fruits', 'fruits', 'butter', 'yogurt']",3
1241,"['frankfurter', 'sausage', 'packaged fruit/vegetables', 'soda']","['meat', 'meat', 'vegetables', 'soda']",3
1242,"['frankfurter', 'other vegetables', 'zwieback']","['meat', 'vegetables']",3
1243,"['chicken', 'tropical fruit', 'pip fruit', 'root vegetables', 'herbs', 'other vegetables', 'dessert', 'yogurt', 'whipped/sour cream', 'beverages', 'brown bread', 'cat food', 'shopping bags']","['chicken', 'fruits', 'fruits', 'vegetables', 'herbs', 'vegetables', 'yogurt', 'cream', 'bread']",5
1244,"['tropical fruit', 'pip fruit', 'other vegetables', 'whole milk', 'napkins', 'dishes', 'flower (seeds)']","['fruits', 'fruits', 'vegetables', 'milk']",3
1245,['bottled beer'],['beer'],3
1246,"['citrus fruit', 'grapes', 'rolls/buns', 'pastry', 'coffee', 'soda']","['fruits', 'vegetables', 'bread', 'soda']",3
1247,"['hamburger meat', 'pip fruit', 'whole milk', 'curd', 'beverages', 'brandy', 'male cosmetics', 'cookware', 'shopping bags']","['meat', 'fruits', 'milk', 'brandy']",6
1248,"['chicken', 'berries', 'mayonnaise', 'frozen vegetables', 'salty snack', 'newspapers']","['chicken', 'fruits', 'sauce', 'vegetables']",3
1249,['pork'],['pork'],3
1250,['rolls/buns'],['bread'],3
1251,['bottled water'],['water'],3
1252,"['sausage', 'tropical fruit', 'whole milk', 'yogurt', 'processed cheese', 'pastry', 'margarine', 'Instant food products', 'coffee', 'popcorn', 'house keeping products']","['meat', 'fruits', 'milk', 'yogurt', 'cheese', 'margarine']",3
1253,"['frozen potato products', 'bottled water', 'soda']","['water', 'soda']",3
1254,"['frankfurter', 'whole milk', 'whipped/sour cream', 'curd cheese', 'domestic eggs', 'margarine', 'baking powder', 'cat food', 'bottled water', 'canned beer', 'candy', 'napkins']","['meat', 'milk', 'cream', 'eggs', 'margarine', 'water', 'beer']",6
1255,"['sausage', 'root vegetables', 'other vegetables', 'whole milk', 'butter', 'whipped/sour cream', 'processed cheese', 'sugar', 'baking powder', 'jam', 'coffee', 'bottled water', 'soda', 'fruit/vegetable juice', 'salty snack', 'long life bakery product', 'candy', 'napkins']","['meat', 'vegetables', 'vegetables', 'milk', 'butter', 'cream', 'cheese', 'sugar', 'water', 'soda', 'vegetables']",6
1256,"['tropical fruit', 'dessert', 'sweet spreads', 'fruit/vegetable juice']","['fruits', 'vegetables']",3
1257,['bottled beer'],['beer'],3
1258,['bottled beer'],['beer'],3
1259,"['rolls/buns', 'brown bread']","['bread', 'bread']",3
1260,"['citrus fruit', 'tropical fruit', 'whole milk', 'coffee']","['fruits', 'fruits', 'milk']",6
1261,"['yogurt', 'softener']",['yogurt'],3
1262,"['turkey', 'pork', 'beef', 'hamburger meat', 'tropical fruit', 'root vegetables', 'onions', 'other vegetables', 'whole milk', 'butter', 'butter milk', 'yogurt', 'rolls/buns', 'oil', 'fruit/vegetable juice', 'waffles', 'candy']","['meat', 'pork', 'beef', 'meat', 'fruits', 'vegetables', 'vegetables', 'vegetables', 'milk', 'butter', 'butter', 'yogurt', 'bread', 'oil', 'vegetables']",3
1263,"['soda', 'softener']",['soda'],3
1264,['canned beer'],['beer'],3
1265,['canned beer'],['beer'],3
1266,"['sausage', 'other vegetables', 'whole milk']","['meat', 'vegetables', 'milk']",3
1267,"['pork', 'root vegetables', 'whole milk', 'curd', 'whipped/sour cream', 'rolls/buns', 'white bread', 'canned vegetables', 'soda', 'cleaner']","['pork', 'vegetables', 'milk', 'cream', 'bread', 'bread', 'vegetables', 'soda']",3
1269,"['frankfurter', 'sausage', 'tropical fruit', 'whole milk', 'yogurt', 'pastry', 'sugar', 'bottled water', 'soda', 'fruit/vegetable juice']","['meat', 'meat', 'fruits', 'milk', 'yogurt', 'sugar', 'water', 'soda', 'vegetables']",6
1270,"['oil', 'dental care', 'newspapers']",['oil'],3
1271,"['chicken', 'hamburger meat', 'other vegetables', 'rolls/buns', 'shopping bags']","['chicken', 'meat', 'vegetables', 'bread']",3
1272,"['beef', 'domestic eggs', 'rolls/buns', 'flour', 'candy']","['beef', 'eggs', 'bread', 'flour']",3
1273,"['dessert', 'UHT-milk', 'bottled water', 'soda', 'canned beer', 'chewing gum', 'softener', 'shopping bags']","['milk', 'water', 'soda', 'beer']",3
1274,"['pork', 'citrus fruit', 'other vegetables', 'domestic eggs', 'margarine', 'canned beer']","['pork', 'fruits', 'vegetables', 'eggs', 'margarine', 'beer']",3
1275,"['curd', 'whipped/sour cream', 'flour', 'baking powder', 'newspapers']","['cream', 'flour']",3
1276,"['chicken', 'red/blush wine']","['chicken', 'wine']",3
1277,['whipped/sour cream'],['cream'],3
1278,"['frankfurter', 'ham', 'root vegetables', 'onions', 'whole milk', 'yogurt', 'rolls/buns', 'white bread', 'brown bread', 'margarine']","['meat', 'ham', 'vegetables', 'vegetables', 'milk', 'yogurt', 'bread', 'bread', 'bread', 'margarine']",3
1279,"['frankfurter', 'root vegetables', 'rolls/buns', 'pastry', 'mustard', 'bottled beer', 'shopping bags']","['meat', 'vegetables', 'bread', 'herbs', 'beer']",5
1280,"['liver loaf', 'root vegetables', 'pet care', 'waffles', 'chocolate']","['meat', 'vegetables', 'chocolate']",3
1281,"['pork', 'root vegetables', 'onions', 'other vegetables', 'whole milk', 'napkins', 'shopping bags']","['pork', 'vegetables', 'vegetables', 'vegetables', 'milk']",3
1282,"['frankfurter', 'liver loaf', 'turkey', 'UHT-milk', 'pasta', 'waffles', 'chocolate', 'dental care', 'dishes']","['meat', 'meat', 'meat', 'milk', 'pasta', 'chocolate']",3
1283,"['pork', 'citrus fruit', 'root vegetables', 'other vegetables', 'whole milk', 'butter', 'soda', 'dishes', 'newspapers', 'flower (seeds)']","['pork', 'fruits', 'vegetables', 'vegetables', 'milk', 'butter', 'soda']",3
1284,"['pork', 'tropical fruit', 'root vegetables', 'onions', 'other vegetables', 'whole milk', 'butter', 'whipped/sour cream', 'soft cheese', 'sliced cheese', 'ice cream', 'semi-finished bread', 'soda', 'newspapers']","['pork', 'fruits', 'vegetables', 'vegetables', 'vegetables', 'milk', 'butter', 'cream', 'cheese', 'cheese', 'bread', 'soda']",3
1285,['soda'],['soda'],3
1286,"['root vegetables', 'rolls/buns', 'margarine', 'soda', 'bottled beer']","['vegetables', 'bread', 'margarine', 'soda', 'beer']",3
1287,"['whipped/sour cream', 'beverages', 'fruit/vegetable juice', 'chocolate']","['cream', 'vegetables', 'chocolate']",3
1288,['chocolate'],['chocolate'],3
1289,"['whole milk', 'frozen vegetables', 'specialty chocolate']","['milk', 'vegetables', 'chocolate']",3
1290,"['pork', 'beef', 'whole milk', 'curd', 'rolls/buns', 'pastry']","['pork', 'beef', 'milk', 'bread']",3
1292,"['rolls/buns', 'waffles']",['bread'],3
1293,"['citrus fruit', 'other vegetables', 'whole milk', 'yogurt', 'hard cheese', 'specialty cheese', 'rolls/buns', 'flour', 'cat food']","['fruits', 'vegetables', 'milk', 'yogurt', 'cheese', 'cheese', 'bread', 'flour']",3
1294,"['citrus fruit', 'yogurt', 'brown bread', 'pasta']","['fruits', 'yogurt', 'bread', 'pasta']",3
1295,"['soda', 'chocolate', 'specialty chocolate', 'newspapers', 'shopping bags']","['soda', 'chocolate', 'chocolate']",3
1296,"['cream cheese', 'rolls/buns']","['cheese', 'bread']",3
1297,['soda'],['soda'],3
1298,"['chicken', 'whipped/sour cream', 'coffee', 'shopping bags']","['chicken', 'cream']",3
1299,['frozen fish'],['fish'],3
1300,"['sausage', 'meat', 'chicken', 'root vegetables', 'other vegetables', 'whole milk', 'salt', 'salty snack']","['meat', 'meat', 'chicken', 'vegetables', 'vegetables', 'milk', 'salt']",3
1301,"['beef', 'berries', 'other vegetables', 'white bread', 'shopping bags']","['beef', 'fruits', 'vegetables', 'bread']",3
1302,"['ham', 'whole milk', 'hard cheese', 'frozen meals', 'rolls/buns', 'rice', 'soups', 'baking powder', 'canned vegetables', 'bottled beer', 'female sanitary products']","['ham', 'milk', 'cheese', 'bread', 'rice', 'vegetables', 'beer']",3
1303,"['chicken', 'pork', 'root vegetables', 'onions', 'packaged fruit/vegetables', 'butter', 'hard cheese', 'salt', 'bottled water', 'bottled beer']","['chicken', 'pork', 'vegetables', 'vegetables', 'vegetables', 'butter', 'cheese', 'salt', 'water', 'beer']",4
1304,"['herbs', 'other vegetables', 'whole milk', 'butter', 'white bread', 'margarine', 'misc. beverages', 'hygiene articles', 'shopping bags']","['herbs', 'vegetables', 'milk', 'butter', 'bread', 'margarine']",4
1305,"['grapes', 'root vegetables']","['vegetables', 'vegetables']",3
1306,"['tropical fruit', 'pip fruit', 'whole milk', 'chewing gum', 'chocolate']","['fruits', 'fruits', 'milk', 'chocolate']",6
1307,"['frankfurter', 'meat', 'tropical fruit', 'berries', 'other vegetables', 'whole milk', 'whipped/sour cream', 'domestic eggs', 'margarine', 'ketchup', 'misc. beverages', 'canned beer', 'salty snack']","['meat', 'meat', 'fruits', 'fruits', 'vegetables', 'milk', 'cream', 'eggs', 'margarine', 'sauce', 'beer']",3
1308,"['onions', 'other vegetables', 'rolls/buns', 'salt', 'chocolate', 'specialty bar', 'shopping bags']","['vegetables', 'vegetables', 'bread', 'salt', 'chocolate']",3
1309,"['sausage', 'organic sausage', 'citrus fruit', 'berries', 'yogurt', 'whipped/sour cream', 'domestic eggs', 'rolls/buns', 'canned vegetables', 'salty snack', 'newspapers']","['meat', 'fruits', 'fruits', 'yogurt', 'cream', 'eggs', 'bread', 'vegetables']",3
1310,"['citrus fruit', 'other vegetables', 'soft cheese', 'rolls/buns', 'pastry', 'canned beer', 'newspapers']","['fruits', 'vegetables', 'cheese', 'bread', 'beer']",3
1311,"['hamburger meat', 'pastry', 'soda', 'canned beer', 'detergent', 'softener', 'hygiene articles', 'shopping bags']","['meat', 'soda', 'beer']",3
